iter	Passed	Remaining
0	0	63
1	1	62
2	1	58
3	2	52
4	2	56
5	3	54
6	3	52
7	4	52
8	5	51
9	5	50
10	6	49
11	6	48
12	7	48
13	7	47
14	8	46
15	8	46
16	9	46
17	10	45
18	10	45
19	11	44
20	11	43
21	12	43
22	12	42
23	13	41
24	13	41
25	14	40
26	14	40
27	15	40
28	16	40
29	16	39
30	17	38
31	17	38
32	18	37
33	18	36
34	19	36
35	19	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	23	31
42	23	31
43	24	30
44	24	30
45	25	29
46	25	29
47	26	28
48	26	27
49	27	27
50	28	26
51	28	26
52	29	25
53	29	25
54	30	24
55	30	24
56	31	23
57	31	22
58	32	22
59	32	21
60	33	21
61	33	20
62	34	20
63	34	19
64	35	19
65	36	18
66	37	18
67	37	17
68	38	17
69	39	16
70	39	16
71	40	15
72	41	15
73	41	14
74	42	14
75	43	13
76	43	13
77	44	12
78	45	11
79	45	11
80	46	10
81	47	10
82	47	9
83	48	9
84	48	8
85	49	8
86	50	7
87	50	6
88	51	6
89	51	5
90	52	5
91	53	4
92	53	4
93	54	3
94	55	2
95	55	2
96	56	1
97	56	1
98	57	0
99	57	0
