iter	Passed	Remaining
0	199	199403
1	202	100863
2	203	67693
3	205	51092
4	206	40999
5	207	34340
6	208	29563
7	209	25956
8	210	23176
9	211	20939
10	212	19090
11	213	17600
12	214	16308
13	216	15219
14	217	14302
15	219	13480
16	219	12715
17	220	12033
18	221	11422
19	221	10877
20	222	10381
21	223	9936
22	224	9528
23	225	9150
24	225	8803
25	226	8496
26	228	8217
27	229	7974
28	230	7717
29	231	7474
30	231	7249
31	232	7038
32	233	6839
33	234	6653
34	234	6474
35	235	6305
36	236	6147
37	236	5997
38	237	5852
39	238	5717
40	239	5590
41	241	5500
42	242	5390
43	243	5280
44	244	5180
45	245	5088
46	246	4990
47	246	4897
48	247	4807
49	249	4741
50	250	4663
51	251	4585
52	252	4512
53	253	4435
54	253	4362
55	255	4309
56	256	4249
57	257	4184
58	258	4125
59	259	4064
60	260	4007
61	261	3952
62	262	3897
63	262	3843
64	263	3790
65	264	3741
66	265	3697
67	266	3650
68	267	3603
69	267	3559
70	268	3516
71	270	3481
72	271	3446
73	272	3411
74	273	3377
75	274	3340
76	275	3302
77	276	3265
78	277	3234
79	278	3201
80	279	3167
81	279	3132
82	280	3095
83	281	3072
84	282	3041
85	283	3014
86	284	2990
87	286	2964
88	287	2939
89	287	2910
90	288	2883
91	289	2858
92	290	2833
93	291	2810
94	292	2784
95	293	2759
96	293	2733
97	294	2709
98	295	2685
99	296	2665
100	296	2643
101	297	2621
102	298	2598
103	300	2586
104	301	2567
105	302	2547
106	303	2536
107	304	2516
108	305	2496
109	306	2476
110	306	2457
111	307	2438
112	308	2420
113	309	2402
114	309	2384
115	310	2366
116	311	2348
117	311	2331
118	312	2313
119	313	2296
120	315	2291
121	316	2277
122	317	2262
123	318	2246
124	318	2230
125	319	2215
126	319	2199
127	320	2185
128	321	2173
129	322	2159
130	323	2145
131	324	2131
132	324	2116
133	325	2103
134	326	2090
135	326	2077
136	327	2064
137	329	2055
138	330	2048
139	331	2036
140	332	2026
141	334	2018
142	334	2007
143	335	1995
144	336	1983
145	337	1973
146	338	1961
147	339	1951
148	339	1941
149	340	1930
150	341	1919
151	342	1909
152	342	1898
153	344	1891
154	345	1884
155	346	1877
156	347	1867
157	349	1860
158	349	1850
159	350	1840
160	351	1829
161	352	1822
162	353	1813
163	353	1804
164	354	1795
165	355	1786
166	356	1777
167	357	1768
168	358	1762
169	360	1759
170	361	1754
171	363	1749
172	364	1743
173	365	1736
174	366	1729
175	367	1721
176	368	1712
177	369	1706
178	370	1699
179	371	1691
180	372	1683
181	373	1676
182	375	1676
183	377	1672
184	378	1666
185	379	1658
186	379	1651
187	380	1644
188	381	1637
189	382	1632
190	383	1625
191	384	1617
192	385	1610
193	385	1603
194	386	1596
195	388	1592
196	389	1588
197	390	1583
198	392	1581
199	395	1582
200	396	1577
201	397	1570
202	398	1564
203	399	1557
204	399	1550
205	401	1547
206	402	1541
207	404	1541
208	407	1543
209	408	1537
210	409	1532
211	410	1527
212	411	1522
213	412	1516
214	413	1509
215	414	1503
216	415	1497
217	415	1491
218	416	1485
219	418	1484
220	420	1481
221	421	1478
222	423	1474
223	424	1471
224	426	1468
225	427	1464
226	428	1459
227	429	1455
228	430	1450
229	431	1445
230	435	1449
231	437	1449
232	438	1445
233	439	1440
234	440	1435
235	441	1429
236	442	1424
237	443	1419
238	444	1414
239	445	1409
240	446	1404
241	447	1400
242	448	1397
243	450	1394
244	451	1391
245	452	1387
246	453	1383
247	454	1378
248	455	1374
249	456	1370
250	457	1366
251	458	1361
252	459	1357
253	461	1354
254	462	1351
255	464	1348
256	465	1346
257	466	1343
258	467	1338
259	469	1335
260	470	1331
261	471	1326
262	471	1322
263	472	1318
264	473	1313
265	474	1309
266	475	1306
267	477	1303
268	478	1299
269	479	1296
270	481	1294
271	482	1290
272	482	1286
273	483	1282
274	484	1277
275	485	1274
276	486	1270
277	487	1266
278	488	1262
279	489	1258
280	490	1256
281	492	1254
282	494	1251
283	495	1248
284	496	1244
285	497	1240
286	498	1238
287	499	1234
288	500	1231
289	501	1227
290	502	1223
291	503	1220
292	504	1216
293	508	1220
294	509	1218
295	511	1217
296	512	1213
297	513	1209
298	514	1207
299	515	1203
300	516	1199
301	517	1195
302	518	1192
303	519	1189
304	520	1186
305	522	1185
306	524	1184
307	525	1181
308	526	1177
309	527	1174
310	528	1171
311	529	1167
312	530	1164
313	531	1161
314	532	1157
315	533	1154
316	535	1152
317	536	1151
318	538	1150
319	541	1149
320	541	1146
321	542	1142
322	543	1139
323	544	1136
324	545	1133
325	546	1130
326	547	1126
327	549	1125
328	551	1124
329	553	1123
330	554	1120
331	555	1117
332	556	1113
333	556	1110
334	557	1107
335	558	1104
336	559	1101
337	560	1098
338	561	1094
339	562	1091
340	563	1089
341	564	1086
342	566	1084
343	567	1082
344	569	1080
345	570	1078
346	571	1075
347	572	1072
348	573	1069
349	573	1065
350	574	1062
351	575	1059
352	576	1056
353	577	1053
354	578	1051
355	580	1049
356	581	1047
357	582	1044
358	583	1041
359	584	1039
360	585	1035
361	586	1032
362	586	1029
363	587	1026
364	588	1023
365	589	1020
366	589	1017
367	590	1014
368	591	1011
369	592	1008
370	593	1006
371	595	1005
372	596	1003
373	598	1001
374	599	999
375	600	996
376	601	993
377	601	990
378	602	987
379	603	984
380	604	981
381	605	978
382	605	975
383	606	972
384	607	970
385	609	969
386	610	967
387	611	964
388	612	962
389	613	959
390	614	956
391	615	953
392	615	951
393	616	948
394	617	945
395	618	943
396	619	940
397	619	937
398	620	934
399	621	932
400	623	931
401	624	929
402	625	927
403	627	925
404	628	923
405	629	920
406	630	918
407	630	915
408	631	912
409	632	909
410	632	907
411	633	904
412	634	901
413	635	899
414	635	896
415	637	894
416	639	893
417	640	891
418	641	889
419	642	886
420	642	884
421	643	881
422	644	879
423	645	876
424	645	873
425	646	871
426	647	868
427	648	866
428	649	863
429	649	861
430	650	859
431	652	857
432	653	856
433	654	854
434	656	852
435	657	850
436	658	847
437	659	845
438	659	843
439	660	840
440	661	838
441	662	835
442	662	833
443	663	831
444	664	828
445	665	826
446	666	824
447	668	823
448	669	821
449	670	819
450	671	817
451	671	814
452	672	812
453	673	810
454	674	807
455	675	805
456	675	803
457	676	800
458	677	798
459	678	796
460	679	794
461	679	791
462	682	791
463	683	789
464	684	787
465	685	785
466	686	783
467	687	781
468	688	779
469	688	776
470	689	774
471	690	772
472	691	770
473	692	768
474	692	765
475	693	763
476	694	761
477	695	759
478	696	757
479	697	756
480	698	754
481	699	751
482	700	749
483	701	748
484	702	746
485	703	744
486	704	741
487	705	739
488	706	737
489	706	735
490	707	733
491	708	731
492	709	729
493	710	727
494	712	726
495	713	724
496	714	723
497	716	721
498	717	719
499	717	717
500	718	715
501	719	713
502	720	712
503	721	710
504	722	708
505	723	706
506	724	704
507	726	704
508	728	702
509	729	700
510	730	698
511	730	696
512	731	694
513	732	692
514	733	690
515	734	688
516	734	686
517	735	684
518	736	682
519	737	680
520	737	678
521	738	676
522	739	674
523	740	672
524	741	671
525	742	669
526	744	668
527	745	666
528	746	664
529	747	662
530	748	660
531	749	659
532	750	657
533	750	655
534	751	653
535	752	651
536	753	649
537	754	647
538	755	645
539	756	644
540	757	642
541	758	641
542	759	639
543	760	637
544	761	635
545	762	633
546	763	631
547	763	629
548	764	628
549	765	626
550	765	624
551	766	622
552	767	620
553	768	618
554	769	616
555	770	614
556	771	613
557	772	611
558	773	610
559	774	608
560	775	606
561	776	605
562	777	603
563	777	601
564	778	599
565	779	597
566	780	596
567	781	594
568	782	592
569	783	590
570	784	589
571	785	587
572	786	586
573	787	584
574	788	582
575	789	581
576	790	579
577	791	577
578	792	575
579	792	574
580	793	572
581	794	570
582	795	568
583	796	567
584	796	565
585	797	563
586	798	561
587	800	561
588	801	559
589	802	557
590	804	556
591	805	555
592	806	553
593	807	552
594	808	550
595	809	548
596	810	546
597	810	545
598	811	543
599	812	541
600	813	539
601	814	538
602	816	537
603	817	535
604	818	534
605	818	532
606	819	530
607	820	529
608	821	527
609	822	525
610	822	523
611	823	522
612	824	520
613	825	519
614	826	517
615	827	515
616	827	513
617	829	512
618	830	511
619	831	509
620	833	508
621	834	507
622	835	505
623	836	503
624	837	502
625	837	500
626	838	498
627	839	497
628	840	495
629	841	493
630	841	492
631	842	490
632	843	489
633	844	487
634	846	486
635	847	484
636	847	483
637	848	481
638	849	479
639	850	478
640	851	476
641	852	475
642	852	473
643	853	471
644	854	470
645	855	468
646	856	467
647	856	465
648	857	463
649	858	462
650	860	461
651	861	459
652	862	458
653	863	456
654	864	455
655	865	453
656	866	452
657	867	450
658	867	449
659	868	447
660	869	446
661	870	444
662	871	442
663	871	441
664	872	439
665	874	438
666	875	437
667	876	435
668	877	434
669	878	432
670	879	431
671	879	429
672	880	428
673	881	426
674	882	424
675	883	423
676	883	421
677	884	420
678	885	418
679	886	416
680	886	415
681	888	414
682	889	412
683	890	411
684	891	409
685	892	408
686	894	407
687	895	405
688	896	404
689	896	402
690	897	401
691	898	399
692	898	398
693	899	396
694	900	395
695	901	393
696	902	392
697	903	390
698	905	389
699	906	388
700	906	386
701	907	385
702	908	383
703	909	382
704	910	380
705	911	379
706	911	377
707	912	376
708	913	374
709	914	373
710	914	371
711	915	370
712	916	368
713	917	367
714	918	366
715	919	364
716	920	363
717	921	362
718	922	360
719	923	359
720	924	357
721	925	356
722	926	354
723	926	353
724	928	352
725	929	350
726	930	349
727	931	347
728	932	346
729	933	345
730	934	344
731	936	342
732	937	341
733	938	340
734	939	338
735	940	337
736	941	335
737	942	334
738	943	333
739	944	331
740	944	330
741	945	328
742	946	327
743	948	326
744	949	324
745	950	323
746	952	322
747	953	321
748	953	319
749	954	318
750	955	316
751	956	315
752	957	314
753	958	312
754	959	311
755	959	309
756	960	308
757	961	307
758	962	305
759	964	304
760	964	303
761	965	301
762	966	300
763	967	298
764	967	297
765	968	295
766	969	294
767	970	293
768	971	291
769	971	290
770	972	288
771	973	287
772	974	286
773	975	284
774	976	283
775	977	282
776	978	280
777	980	279
778	981	278
779	982	277
780	983	275
781	984	274
782	985	273
783	986	271
784	987	270
785	987	268
786	988	267
787	989	266
788	991	265
789	994	264
790	995	262
791	996	261
792	997	260
793	997	258
794	998	257
795	999	256
796	1000	254
797	1001	253
798	1002	252
799	1003	250
800	1003	249
801	1004	248
802	1005	246
803	1007	245
804	1007	244
805	1008	242
806	1010	241
807	1011	240
808	1012	238
809	1012	237
810	1013	236
811	1014	234
812	1015	233
813	1016	232
814	1017	230
815	1017	229
816	1018	228
817	1019	226
818	1020	225
819	1022	224
820	1023	223
821	1024	221
822	1025	220
823	1026	219
824	1027	217
825	1027	216
826	1028	215
827	1029	213
828	1030	212
829	1031	211
830	1032	209
831	1033	208
832	1033	207
833	1035	206
834	1037	204
835	1038	203
836	1039	202
837	1041	201
838	1042	199
839	1042	198
840	1043	197
841	1044	196
842	1045	194
843	1046	193
844	1047	192
845	1048	190
846	1049	189
847	1051	188
848	1052	187
849	1053	185
850	1054	184
851	1055	183
852	1056	181
853	1057	180
854	1058	179
855	1059	178
856	1060	176
857	1061	175
858	1062	174
859	1063	173
860	1066	172
861	1067	170
862	1068	169
863	1070	168
864	1071	167
865	1072	165
866	1073	164
867	1074	163
868	1074	162
869	1075	160
870	1076	159
871	1077	158
872	1077	156
873	1078	155
874	1080	154
875	1081	153
876	1082	151
877	1084	150
878	1085	149
879	1086	148
880	1086	146
881	1087	145
882	1088	144
883	1089	142
884	1090	141
885	1091	140
886	1092	139
887	1094	138
888	1095	136
889	1096	135
890	1098	134
891	1099	133
892	1100	131
893	1100	130
894	1101	129
895	1102	127
896	1103	126
897	1103	125
898	1104	124
899	1105	122
900	1106	121
901	1107	120
902	1108	119
903	1110	117
904	1111	116
905	1112	115
906	1113	114
907	1114	112
908	1115	111
909	1116	110
910	1117	109
911	1117	107
912	1118	106
913	1119	105
914	1120	104
915	1121	102
916	1121	101
917	1123	100
918	1124	99
919	1125	97
920	1127	96
921	1128	95
922	1129	94
923	1129	92
924	1130	91
925	1131	90
926	1132	89
927	1133	87
928	1134	86
929	1135	85
930	1136	84
931	1136	82
932	1138	81
933	1139	80
934	1141	79
935	1142	78
936	1143	76
937	1144	75
938	1145	74
939	1146	73
940	1147	71
941	1147	70
942	1148	69
943	1149	68
944	1150	66
945	1150	65
946	1151	64
947	1153	63
948	1154	62
949	1155	60
950	1157	59
951	1158	58
952	1159	57
953	1160	55
954	1161	54
955	1162	53
956	1163	52
957	1164	51
958	1164	49
959	1165	48
960	1166	47
961	1167	46
962	1169	44
963	1170	43
964	1172	42
965	1173	41
966	1174	40
967	1174	38
968	1175	37
969	1176	36
970	1177	35
971	1178	33
972	1179	32
973	1179	31
974	1180	30
975	1182	29
976	1183	27
977	1184	26
978	1185	25
979	1187	24
980	1188	23
981	1189	21
982	1190	20
983	1191	19
984	1191	18
985	1192	16
986	1193	15
987	1194	14
988	1194	13
989	1195	12
990	1197	10
991	1198	9
992	1199	8
993	1201	7
994	1202	6
995	1203	4
996	1204	3
997	1205	2
998	1206	1
999	1206	0
